Năm,Tháng,Chỉ tiêu,Ước tính mỗi tháng,Tổng lượt khách cả năm,So với tháng trước (%),So sánh tháng này ở năm trước(%),So sánh tổng lượt khách với cùng kỳ năm trước (%),,
2019,Tổng cộng,Tổng số,1.374.235,1.501.766,"109,3","105,0",,,
2019,t1,1. Đường không,1.087.755,1.167.203,"107,3","101,4",,,
2019,t1,2. Đường biển,10.931,24.157,"221,0","69,5",,,
2019,t1,3. Đường bộ,275.549,310.406,"112,7","126,9",,,
2019,t1,Thái Lan,42.603,45.105,"105,9","139,7",,,
2019,t1,Đài Loan,64.365,63.789,"99,1","131,4",,,
2019,t1,Hàn Quốc,324.545,388.977,"119,9","123,0",,,
2019,t1,Philippines,14.357,15.764,"109,8","120,0",,,
2019,t1,Ấn Độ,12.461,14.329,"115,0","118,9",,,
2019,t1,Indonesia,6.939,9.813,"141,4","118,7",,,
2019,t1,Hồng Kông,5.521,6.324,"114,5","113,4",,,
2019,t1,Nhật Bản,70.711,79.981,"113,1","111,3",,,
2019,t1,Malaysia,65.298,48.147,"73,7","109,4",,,
2019,t1,Singapore,37.689,25.167,"66,8","97,5",,,
2019,t1,Trung Quốc,405.573,373.537,"92,1","89,3",,,
2019,t1,Lào,8.937,6.788,"76,0","73,0",,,
2019,t1,Campuchia,18.555,9.521,"51,3","38,7",,,
2019,t1,Các thị trường khác thuộc châu Á,14.056,16.414,"116,8","99,3",,,
2019,t1,Hoa Kỳ,54.891,80.658,"146,9","111,0",,,
2019,t1,Canada,13.199,17.358,"131,5","106,2",,,
2019,t1,Các thị trường khác thuộc châu Mỹ,5.043,7.293,"144,6","83,9",,,
2019,t1,Đan mạch,2.695,5.460,"202,6","116,0",,,
2019,t1,Na Uy,1.985,3.063,"154,3","111,5",,,
2019,t1,Thụy sĩ,3.369,4.544,"134,9","107,8",,,
2019,t1,Thụy Điển,5.385,11.239,"208,7","106,0",,,
2019,t1,Tây Ban Nha,4.355,4.595,"105,5","105,0",,,
2019,t1,Ý,5.382,8.741,"162,4","103,9",,,
2019,t1,Đức,18.252,21.850,"119,7","103,9",,,
2019,t1,Vương quốc Anh,22.500,29.545,"131,3","103,9",,,
2019,t1,Nga,54.458,75.964,"139,5","102,2",,,
2019,t1,Pháp,21.009,26.992,"128,5","101,3",,,
2019,t1,Bỉ,2.282,2.564,"112,4","99,4",,,
2019,t1,Hà Lan,5.863,6.870,"117,2","97,9",,,
2019,t1,Phần Lan,2.486,4.649,"187,0","88,3",,,
2019,t1,Các thị trường khác thuộc châu Âu,20.722,26.431,"127,6","105,2",,,
2019,t1,Úc,31.009,50.337,"162,3","100,4",,,
2019,t1,New Zealand,3.050,4.970,"163,0","98,7",,,
2019,t1,Các thị trường khác thuộc châu Úc,82,81,"98,8","57,4",,,
2019,t1,Các thị trường khác thuộc châu Phi,4.608,4.906,"106,5","97,9",,,
2019,Tổng cộng,Tổng số,1.588.161,3.089.927,"105,8","110,9","108,0",,
2019,t2,1. Đường không,1.256.093,2.423.296,"107,6","109,6","105,5",,
2019,t2,2. Đường biển,30.730,54.887,"127,2","53,1","59,3",,
2019,t2,3. Đường bộ,301.338,611.744,"97,1","132,1","129,5",,
2019,t2,Thái Lan,34.877,79.982,"77,3","133,5","136,9",,
2019,t2,Đài Loan,77.916,141.705,"122,1","123,7","127,1",,
2019,t2,Hàn Quốc,383.205,772.182,"98,5","126,3","124,6",,
2019,t2,Philippines,12.934,28.698,"82,0","127,9","123,4",,
2019,t2,Hồng Kông,4.660,10.984,"73,7","125,5","118,3",,
2019,t2,Ấn Độ,11.374,25.703,"79,4","115,2","117,2",,
2019,t2,Indonesia,6.174,15.987,"62,9","105,3","113,2",,
2019,t2,Nhật Bản,70.841,150.822,"88,6","107,6","109,5",,
2019,t2,Malaysia,43.369,91.516,"90,1","101,0","105,3",,
2019,t2,Lào,11.913,18.701,"175,5","135,0","103,2",,
2019,t2,Trung Quốc,516.351,889.888,"138,2","106,8","98,7",,
2019,t2,Singapore,18.441,43.608,"73,3","93,4","95,7",,
2019,t2,Campuchia,13.696,23.217,"143,9","64,9","50,8",,
2019,t2,Các thị trường khác thuộc châu Á,13.559,29.973,"82,6","107,4","102,8",,
2019,t2,Hoa Kỳ,77.423,158.081,"96,0","103,0","107,0",,
2019,t2,Canada,19.195,36.553,"110,6","99,9","102,8",,
2019,t2,Các thị trường khác thuộc châu Mỹ,6.687,13.980,"91,7","90,5","87,0",,
2019,t2,Na Uy,3.831,6.894,"125,1","114,5","113,1",,
2019,t2,Thụy sĩ,3.965,8.509,"87,3","116,3","111,6",,
2019,t2,Đan mạch,6.238,11.698,"114,2","107,0","111,0",,
2019,t2,Thụy Điển,10.087,21.326,"89,7","113,6","109,5",,
2019,t2,Tây Ban Nha,3.828,8.423,"83,3","107,8","106,3",,
2019,t2,Vương quốc Anh,30.967,60.512,"104,8","108,6","106,2",,
2019,t2,Ý,6.799,15.540,"77,8","107,6","105,5",,
2019,t2,Đức,23.977,45.827,"109,7","105,3","104,6",,
2019,t2,Nga,70.774,146.738,"93,2","106,0","104,0",,
2019,t2,Hà Lan,7.079,13.949,"103,0","108,4","103,0",,
2019,t2,Pháp,28.145,55.137,"104,3","104,1","102,7",,
2019,t2,Bỉ,2.537,5.101,"98,9","99,3","99,4",,
2019,t2,Phần Lan,3.864,8.513,"83,1","102,6","94,3",,
2019,t2,Các thị trường khác thuộc châu Âu,26.895,53.326,"101,8","101,3","103,2",,
2019,t2,New Zealand,2.725,7.695,"54,8","103,1","100,2",,
2019,t2,Úc,30.286,80.623,"60,2","94,0","97,9",,
2019,t2,Các thị trường khác thuộc châu Úc,73,154,"90,1","76,0","65,0",,
2019,t2,Các thị trường khác thuộc châu Phi,3.476,8.382,"70,9","121,8","106,6",,
2019,Tổng cộng,Tổng số,1.410.187,4.500.114,"88,8","105,0","107,0",,
2019,t3,1. Đường không,1.092.967,3.516.263,"87,0","102,3","104,5",,
2019,t3,2. Đường biển,20.147,75.034,"65,6","74,2","62,6",,
2019,t3,3. Đường bộ,297.073,908.817,"98,6","120,1","126,2",,
2019,t3,Thái Lan,44.606,124.588,"127,9","178,3","149,3",,
2019,t3,Đài Loan,65.390,207.095,"83,9","123,7","126,0",,
2019,t3,Philippines,13.430,42.128,"103,8","127,7","124,8",,
2019,t3,Hàn Quốc,335.612,1.107.794,"87,6","123,0","124,1",,
2019,t3,Ấn Độ,12.595,38.298,"110,7","126,9","120,3",,
2019,t3,Indonesia,8.379,24.366,"135,7","125,7","117,2",,
2019,t3,Hồng Kông,5.467,16.451,"117,3","112,1","116,1",,
2019,t3,Malaysia,52.113,143.629,"120,2","123,1","111,1",,
2019,t3,Nhật Bản,82.533,233.355,"116,5","106,2","108,3",,
2019,t3,Singapore,24.651,68.259,"133,7","110,8","100,7",,
2019,t3,Trung Quốc,391.185,1.281.073,"75,8","86,0","94,4",,
2019,t3,Lào,7.869,26.570,"66,1","48,9","77,6",,
2019,t3,Campuchia,10.774,33.991,"78,7","48,9","50,2",,
2019,t3,Các thị trường khác thuộc châu Á,12.822,42.795,"94,6","103,6","103,1",,
2019,t3,Hoa Kỳ,61.619,219.700,"79,6","110,3","107,9",,
2019,t3,Canada,17.212,53.765,"89,7","111,9","105,6",,
2019,t3,Các thị trường khác thuộc châu Mỹ,6.014,19.994,"89,9","109,4","92,7",,
2019,t3,Na Uy,2.494,9.388,"65,1","112,3","112,9",,
2019,t3,Thụy sĩ,3.298,11.807,"83,2","111,0","111,4",,
2019,t3,Đan mạch,5.264,16.962,"84,4","110,4","110,8",,
2019,t3,Thụy Điển,6.643,27.969,"65,9","113,6","110,4",,
2019,t3,Ý,7.387,22.927,"108,6","121,9","110,3",,
2019,t3,Tây Ban Nha,4.115,12.538,"107,5","106,3","106,3",,
2019,t3,Đức,26.384,72.211,"110,0","109,0","106,2",,
2019,t3,Nga,68.880,215.618,"97,3","111,1","106,2",,
2019,t3,Hà Lan,6.746,20.695,"95,3","110,8","105,4",,
2019,t3,Vương quốc Anh,29.367,89.879,"94,8","101,8","104,7",,
2019,t3,Pháp,32.185,87.322,"114,4","106,7","104,1",,
2019,t3,Bỉ,2.549,7.650,"100,5","104,6","101,0",,
2019,t3,Phần Lan,3.081,11.594,"79,7","94,4","94,3",,
