Tỉnh/Thành phố,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sơ bộ 2023
CẢ NƯỚC,"15.539,30","18.852,90","24.820,60","27.799,40","30.444,10","32.530,30","36.111,80","40.371,20","44.669,90","16.492,00","8.998,84","43.505,51","68.966,60"
Đồng bằng sông Hồng,"4.226,00","3.479,20","7.347,10","8.140,80","8.543,00","9.071,80","9.583,60","10.507,40","11.556,10","6.128,30","3.938,06","16.873,93","24.533,93"
Hà Nội,"4.005,60","3.006,60","6.764,00","7.482,80","7.831,90","8.065,30","8.465,80","9.273,70","10.145,50","5.184,40","3.382,00","14.773,82","20.753,47"
Vĩnh Phúc,"6,60","10,60","40,60","68,00","71,50","78,40","83,70","86,70","96,30","73,90","44,70","110,04","258,89"
Bắc Ninh,"2,20","3,00","4,90","5,40","12,30","17,80","20,00","23,00","25,00","10,90","2,04","48,78","110,80"
Quảng Ninh,"103,80","311,00","358,60","391,70","434,80","629,90","703,50","783,00","916,70","622,30","390,70","713,70","1.047,36"
Hải Dương,"8,70","11,40","12,70","10,50","10,70","34,20","37,00","39,30","45,40","10,10","4,21","77,21","114,66"
Hải Phòng,"79,20","104,80","120,30","127,40","132,20","187,70","209,70","232,50","250,70","183,20","89,04","509,94","985,09"
Hưng Yên,"1,10","1,70","2,20","3,00","3,80","4,60","4,60","5,60","6,30","4,30","3,42","63,87","92,37"
Thái Bình,"1,50","0,90","4,00","5,80","8,30","11,20","12,00","12,40","12,70","4,60","0,50","60,56","117,39"
Hà Nam,"7,50","10,30","12,20","13,80","15,10","16,90","19,00","21,20","23,20","18,90","9,42","354,19","719,50"
Nam Định,"5,50","13,40","13,70","13,60","13,90","15,50","16,30","17,50","20,70","11,30","10,17","64,59","104,02"
Ninh Bình,"4,30","5,50","13,90","18,80","8,50","10,30","12,00","12,50","13,60","4,40","1,86","97,20","230,37"
Trung du và miền núi phía Bắc,"141,70","170,50","187,00","205,00","253,60","291,30","324,90","354,80","387,70","211,20","132,90","545,41","979,03"
Hà Giang,"16,10","25,20","28,50","30,20","35,50","38,80","43,70","44,60","50,20","23,90","6,40","20,97","24,17"
